Symbol,Company Name,Market Cap,Div. ($),Div. Yield,Payout Ratio,Div. Growth,Payout Freq.,Div. Gr. Years,Div. Years,Div. Growth 3Y,Div. Growth 5Y,Category,fiveYearAvgDivdendYield,Trainling_5Y_avg_dividend_yield,Trainling_5Y_min_dividend_yield,Trainling_5Y_max_dividend_yield,Trainling_10Y_avg_dividend_yield,Trainling_10Y_min_dividend_yield,Trainling_10Y_max_dividend_yield,Sector,Industry,FCF_Dividend_Ratio,Debt_to_Equity,ROE,Five_y_DividendYield_diff,Ten_y_DividendYield_diff
RF,Regions Financial Corporation,26.70B,1.06,0.0345,0.4543,0.0556,Quarterly,13.0,23.0,0.1072,0.1101,SCHD,0.0381,0.04414224437708465,0.03172148263092427,0.07588728220248953,0.0432198985158055,0.022784024175506422,0.10664729644493767,Financial Services,Banks - Regional,0.0,0.0,11.65,-0.09448818897637792,-0.20175657082157736
CINF,Cincinnati Financial Corporation,26.32B,3.76,0.0223,0.2641,0.0758,Quarterly,65.0,65.0,0.07980000000000001,0.0788,Aristocrat+King+SCHD,0.0239,0.026083390953309558,0.020156386464088155,0.03350204373747292,0.029497637725179677,0.020156386464088155,0.057365979087690824,Financial Services,Insurance - Property & Casualty,3.07,5.73,14.53,-0.06694560669456069,-0.24400725889435046
GIS,"General Mills, Inc.",25.67B,2.44,0.0507,0.5273,0.0167,Quarterly,6.0,56.0,0.0415,0.0385,SCHD,0.0347,0.03866934535028021,0.026652635966885517,0.05761038679839307,0.04283878196461205,0.026652635966885517,0.06931237980752206,Consumer Defensive,Packaged Foods,1.9,147.23,27.17,0.4610951008645533,0.18350703906291946
ES,Eversource Energy,25.37B,3.15,0.0466,0.8354,0.0509,Quarterly,26.0,28.0,0.0558,0.057300000000000004,Aristocrat,0.0376,0.04223684659785863,0.03107698124001952,0.05748719610596261,0.04065827604559762,0.027738298023201574,0.05748719610596261,Utilities,Utilities - Regulated Electric,0.09,184.36,8.61,0.2393617021276596,0.1461381182945098
DRI,"Darden Restaurants, Inc.",25.10B,6.00,0.0275,0.6183,0.0708,Quarterly,5.0,32.0,0.0682,0.3065,SCHD,0.0286,0.03408677941516123,0.011683694924576524,0.04718091375411827,0.03589846850377211,0.011683694924576524,0.12192376062641343,Consumer Cyclical,Restaurants,0.91,401.27,54.1,-0.03846153846153847,-0.2339506071934412
CHRW,"C.H. Robinson Worldwide, Inc.",23.66B,2.52,0.0126,0.5176,0.0121,Quarterly,28.0,30.0,0.0252,0.0415,Aristocrat,0.0233,0.025246901489452567,0.0125629395583372,0.037430432024085386,0.026605046945156165,0.0125629395583372,0.03885859413636606,Industrials,Integrated Freight & Logistics,2.5,75.6,32.91,-0.4592274678111588,-0.5264056467942443
CHD,"Church & Dwight Co., Inc.",23.63B,1.23,0.0125,0.39490000000000003,0.0403,Quarterly,30.0,52.0,0.04,0.0416,Aristocrat,0.0116,0.01213659712844036,0.01018276127259582,0.015469086954429225,0.013834846388821192,0.01018276127259582,0.021131938555576255,Consumer Defensive,Household & Personal Products,4.13,55.1,17.62,0.07758620689655185,-0.09648436645453262
CTRA,Coterra Energy Inc.,23.15B,0.88,0.0288,0.40619999999999995,0.047599999999999996,Quarterly,1.0,36.0,-0.2939,0.17079999999999998,SCHD,0.0455,0.05445389999191489,0.024573690108035656,0.13236840742262315,0.0352747631291957,0.004141582483304036,0.13236840742262315,Energy,Oil & Gas E&P,1.42,27.96,11.85,-0.367032967032967,-0.18355227802612134
BRO,"Brown & Brown, Inc.",23.07B,0.66,0.0096,0.19940000000000002,0.125,Quarterly,33.0,41.0,0.13140000000000002,0.1216,Aristocrat,0.0063,0.006721873632552489,0.004857410776811922,0.009611184179388436,0.00912757917591912,0.004857410776811922,0.017756208450629765,Financial Services,Insurance Brokers,6.53,62.48,11.23,0.5238095238095236,0.05175751587312942
AMCR,Amcor plc,22.36B,2.60,0.0537,1.7496,0.019799999999999998,Quarterly,7.0,8.0,0.0202,0.0206,Aristocrat+SCHD,0.0472,0.051999201545015875,0.041191204406766234,0.06547314833514312,0.07230647699196739,0.02153954866919036,0.14553440398399223,Consumer Cyclical,Packaging & Containers,0.37,138.73,7.73,0.13771186440677963,-0.2573279430283183
EXPD,"Expeditors International of Washington, Inc.",21.93B,1.54,0.009399999999999999,0.2505,0.0548,Semi-Annual,31.0,33.0,0.042300000000000004,0.0696,Aristocrat,0.0114,0.023909071881645948,0.017611336586833018,0.03220433107793984,0.026900086503105217,0.017611336586833018,0.03904180882911658,Industrials,Integrated Freight & Logistics,3.6,24.55,36.51,-0.17543859649122823,-0.6505587445261595
PKG,Packaging Corporation of America,21.33B,5.00,0.021,0.5827,,Quarterly,,23.0,,0.0691,SCHD,0.0284,0.03164599832618074,0.020714055885218036,0.0492043595891478,0.03405968379474021,0.020714055885218036,0.06552873226787576,Consumer Cyclical,Packaging & Containers,0.0,91.62,16.9,-0.2605633802816901,-0.38343526244823795
TROW,"T. Rowe Price Group, Inc.",20.94B,5.08,0.053,0.5498,0.0242,Quarterly,40.0,40.0,0.0177,0.060899999999999996,Aristocrat+SCHD,0.0395,0.04643334751990755,0.023537943978939893,0.07451623741665825,0.04172484717442238,0.023537943978939893,0.07451623741665825,Financial Services,Asset Management,0.0,0.0,18.79,0.3417721518987341,0.27022634207488155
GPC,Genuine Parts Company,20.31B,4.12,0.0282,0.7095,0.03,Quarterly,70.0,70.0,0.0426,0.0528,Aristocrat+King,0.0268,0.0292194619752583,0.020831913130276707,0.0399636105535907,0.033426438436102324,0.020831913130276707,0.07390642935718919,Consumer Cyclical,Auto Parts,0.45,133.16,16.99,0.052238805970149196,-0.1563564256507057
ALB,Albemarle Corporation,19.51B,1.62,0.0098,,0.0062,Quarterly,31.0,32.0,0.0073,0.0095,Aristocrat,0.0119,0.012297438053293619,0.0050854504194653045,0.032394891339080974,0.014871076316458853,0.0050854504194653045,0.03246410227377999,Basic Materials,Specialty Chemicals,-0.81,36.66,0.21,-0.1764705882352942,-0.34100264221267834
SNA,Snap-on Incorporated,19.15B,9.76,0.0265,0.4617,0.1477,Quarterly,16.0,55.0,0.13369999999999999,0.1391,SCHD,0.0243,0.027115353185896633,0.02124862028692454,0.03246680465299601,0.026780888413748576,0.018160176945723833,0.0526084529958277,Industrials,Tools & Accessories,1.34,21.23,18.33,0.09053497942386834,-0.01048839043010898
MKC,"McCormick & Company, Incorporated",18.21B,1.92,0.028300000000000002,0.6246,0.0702,Quarterly,39.0,55.0,0.0638,0.0708,Aristocrat,0.0198,0.02145412255925226,0.015435400759410677,0.03158414165296684,0.020407659977854667,0.01319887148458605,0.03158414165296684,Consumer Defensive,Packaged Foods,1.16,73.21,14.24,0.4292929292929293,0.38673419837010675
WST,"West Pharmaceutical Services, Inc.",17.91B,0.88,0.0034999999999999996,0.1274,0.048799999999999996,Quarterly,33.0,54.0,0.051399999999999994,0.054400000000000004,Aristocrat,0.0025,0.0025233667710466054,0.0014686584013942152,0.0044275685516123155,0.00389838144342075,0.0014686584013942152,0.00912746801700653,Healthcare,Medical Instruments & Supplies,3.97,9.93,16.95,0.3999999999999998,-0.10219149901123549
LYB,LyondellBasell Industries N.V.,17.85B,5.48,0.09880000000000001,,0.0342,Quarterly,2.0,15.0,-0.1821,0.0535,SCHD,0.0603,0.08499135113905557,0.04962374905654442,0.38458292581460124,0.07814464312135057,0.04814091049791126,0.38458292581460124,Basic Materials,Specialty Chemicals,0.48,124.32,-10.58,0.6384742951907133,0.2643221090225443
ESS,"Essex Property Trust, Inc.",17.19B,10.28,0.039900000000000005,0.9884999999999999,0.049,Quarterly,1.0,33.0,0.048799999999999996,0.0432,Aristocrat,0.0344,0.03811090632974821,0.02719821000865369,0.05032814882107106,0.038084287521949305,0.02719821000865369,0.053655259037573386,Real Estate,REIT - Residential,0.0,119.43,12.23,0.1598837209302327,0.047676157181731224
EWBC,"East West Bancorp, Inc.",16.86B,3.20,0.026099999999999998,0.2731,0.15560000000000002,Quarterly,8.0,28.0,0.1567,0.17620000000000002,SCHD,0.0233,0.02643832338916398,0.016324924180621377,0.05003181732513393,0.025438713298569695,0.013244499099919314,0.05633623517871215,Financial Services,Banks - Regional,0.0,0.0,15.95,0.12017167381974235,0.02599528889959558
NDSN,Nordson Corporation,16.22B,3.28,0.0113,0.376,0.4286,Quarterly,63.0,63.0,0.0916,0.156,Aristocrat+King,0.0106,0.011464401054999728,0.007137307789319481,0.01882793888203809,0.011060543523533818,0.007137307789319481,0.01882793888203809,Industrials,Specialty Industrial Machinery,3.0,68.75,16.21,0.06603773584905653,0.02164961206080727
PNR,Pentair plc,15.96B,1.08,0.0111,0.25780000000000003,0.0851,Quarterly,49.0,51.0,0.06269999999999999,0.057800000000000004,Aristocrat,0.0125,0.013233617426841825,0.008531013915628974,0.022398947315098106,0.01777765634814736,0.008531013915628974,0.036191954332763045,Industrials,Specialty Industrial Machinery,3.14,42.35,17.48,-0.11200000000000002,-0.3756207352294359
WSO,"Watsco, Inc.",15.73B,12.00,0.028900000000000002,0.9322,0.11109999999999999,Quarterly,12.0,43.0,0.0986,0.1107,SCHD,0.0266,0.02975287432504574,0.019645110105395824,0.043058605482372246,0.035609755066025824,0.019645110105395824,0.05783645823838836,Industrials,Industrial Distribution,0.89,13.86,19.05,0.08646616541353397,-0.18842463402471962
FNF,"Fidelity National Financial, Inc.",15.27B,2.08,0.037000000000000005,0.9526,1.1076000000000001,Quarterly,14.0,21.0,0.3194,0.2426,SCHD,0.0373,0.04238270919746929,0.030852925854689822,0.0621982915131353,0.04099262264907167,0.024103424210253077,0.07744736804988307,Financial Services,Insurance - Specialty,1.22,51.18,13.96,-0.008042895442359107,-0.09739856567001291
RPM,RPM International Inc.,15.09B,2.16,0.0183,0.4045,0.0825,Quarterly,53.0,54.0,0.0859,0.0725,King,0.0173,0.018599393768999557,0.014154671874051773,0.022784401953341103,0.022090845729318773,0.014154671874051773,0.03600152616554901,Basic Materials,Specialty Chemicals,1.5,91.61,22.83,0.05780346820809254,-0.17160256224539183
CF,"CF Industries Holdings, Inc.",14.81B,2.00,0.021099999999999997,0.2418,,Quarterly,,22.0,0.07719999999999999,0.1076,SCHD,0.0208,0.02269569286114647,0.011834181334896714,0.03126707612253141,0.0322549779755764,0.011834181334896714,0.07292668669426111,Basic Materials,Agricultural Inputs,4.37,44.13,21.97,0.014423076923076837,-0.3458374079195775
CLX,The Clorox Company,14.46B,4.96,0.0415,0.8059999999999999,0.0165,Quarterly,49.0,56.0,0.0167,0.0239,Aristocrat,0.0325,0.0355820990297586,0.025560913373157832,0.051472226037958285,0.0333949336853997,0.02199686266463253,0.051472226037958285,Consumer Defensive,Household & Personal Products,1.67,9191.43,987.18,0.27692307692307694,0.24270347086042723
BEN,"Franklin Resources, Inc.",14.41B,1.32,0.04769999999999999,1.2034,0.0317,Quarterly,46.0,46.0,0.032799999999999996,0.034,Aristocrat,0.0473,0.05399027336517803,0.03682268056532853,0.08005729484195515,0.06167087006455638,0.02660661813541597,0.5729220296515738,Financial Services,Asset Management,0.48,24.59,4.46,0.00845665961945012,-0.22653920805611846
ERIE,Erie Indemnity Company,14.10B,5.85,0.0217,0.4486,0.0708,Quarterly,36.0,36.0,0.06509999999999999,-0.0152,Aristocrat,0.0176,0.01885150806066734,0.009575173195235515,0.02951730386700428,0.023797777247262487,0.009575173195235515,0.040542431182091894,Financial Services,Insurance Brokers,1.59,2.35,30.44,0.23295454545454541,-0.0881501337484701
BBY,"Best Buy Co., Inc.",14.06B,3.80,0.0567,1.2573999999999999,0.0106,Quarterly,21.0,23.0,0.022000000000000002,0.1009,SCHD,0.0415,0.04745644758731839,0.02255532189578079,0.0703940061435841,0.043124937024374775,0.02225359062627505,0.13647738062582612,Consumer Cyclical,Specialty Retail,1.44,154.54,22.49,0.3662650602409638,0.31478452868122275
SWK,"Stanley Black & Decker, Inc.",13.92B,3.32,0.037000000000000005,1.2453,0.0123,Quarterly,59.0,59.0,0.011399999999999999,0.0341,Aristocrat+King,0.033,0.035968076472574204,0.014906393133243564,0.060859253932380675,0.02944453122781009,0.014906393133243564,0.060859253932380675,Industrials,Tools & Accessories,1.79,64.76,4.52,0.12121212121212131,0.2566000699326415
BF.B,Brown-Forman Corporation,13.66B,0.92,0.0313,0.5325,0.0348,Quarterly,53.0,55.0,0.0493,0.051699999999999996,Aristocrat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
HRL,Hormel Foods Corporation,13.43B,1.17,0.0479,1.3375,0.022000000000000002,Quarterly,60.0,60.0,0.0329,0.0401,Aristocrat+King,0.0301,0.0329169032206547,0.021577839018241098,0.05518167585417516,0.028133006841439743,0.016789541607759053,0.05518167585417516,Consumer Defensive,Packaged Foods,0.45,38.22,6.0,0.5913621262458472,0.7026263943263824
CNA,CNA Financial Corporation,13.30B,3.84,0.0782,1.0493999999999999,0.0213,Quarterly,2.0,15.0,0.1084,0.11380000000000001,SCHD,0.0372,0.08424007785149634,0.036726548024755785,0.28545522520789396,0.10816388831754964,0.03408197738498857,0.627549615817054,Financial Services,Insurance - Property & Casualty,4.58,30.65,9.03,1.102150537634409,-0.2770230322118327
OVV,Ovintiv Inc.,11.91B,1.20,0.0255,1.3324,,Quarterly,,53.0,0.06269999999999999,0.2619,SCHD,0.0221,0.02496375838260116,0.012745316095050125,0.0393456967801718,0.022823582765767413,0.0051532228545832,0.2049867095356887,Energy,Oil & Gas E&P,-2.72,62.82,2.26,0.1538461538461537,0.1172654294332301
UNM,Unum Group,11.88B,1.84,0.025699999999999997,0.4215,0.10769999999999999,Quarterly,17.0,40.0,0.1174,0.09570000000000001,SCHD,0.031,0.03481918445670032,0.020630700822413726,0.060940549349259056,0.038208611539499386,0.020630700822413726,0.1374144134833832,Financial Services,Insurance - Life,0.0,33.88,6.69,-0.17096774193548395,-0.3273767623450072
SJM,The J. M. Smucker Company,11.47B,4.40,0.040999999999999995,,0.018600000000000002,Quarterly,30.0,56.0,0.0265,0.0412,Aristocrat,0.0329,0.03610256196988581,0.027923665026149173,0.04667955573919315,0.03557231837440339,0.02296982632349864,0.04667955573919315,Consumer Defensive,Packaged Foods,0.69,131.36,-17.44,0.24620060790273546,0.15258161046658625
AOS,A. O. Smith Corporation,11.01B,1.44,0.0182,0.3638,0.060599999999999994,Quarterly,33.0,33.0,0.0647,0.0696,Aristocrat,0.0173,0.018455762692491863,0.014106697288700759,0.024612221306160535,0.017681401831539743,0.00957120160565987,0.030845348765022214,Industrials,Specialty Industrial Machinery,2.76,10.34,29.2,0.05202312138728332,0.029330150030027192
AFG,"American Financial Group, Inc.",10.81B,3.52,0.027200000000000002,0.6806,-0.1745,Quarterly,,41.0,-0.2186,0.11960000000000001,SCHD,0.0198,0.06755566074224298,0.01986738981124032,0.6973181962109947,0.059575634905292434,0.01986738981124032,0.6973181962109947,Financial Services,Insurance - Property & Casualty,0.0,37.76,18.31,0.3737373737373737,-0.5434375136204603
DINO,HF Sinclair Corporation,10.71B,2.00,0.0344,0.9666,,Quarterly,,38.0,0.0662,0.0739,SCHD,0.0336,0.0438023502687487,0.027649094218303905,0.07980102711736888,0.04645054249013554,0.02062391085713986,0.09658673951433135,Energy,Oil & Gas Refining & Marketing,2.46,35.77,4.18,0.023809523809523874,-0.25942737897398405
APA,APA Corporation,9.75B,1.00,0.0364,0.24059999999999998,,Quarterly,,56.0,0.10060000000000001,0.5849,SCHD,0.0252,0.028783115579841877,0.004180872028815584,0.07495948477935915,0.030510079796742074,0.004180872028815584,0.2888520951691095,Energy,Oil & Gas E&P,8.94,66.89,27.43,0.44444444444444453,0.1930483382048337
COLB,"Columbia Banking System, Inc.",9.58B,1.48,0.045700000000000005,0.6304,0.0069,Quarterly,3.0,29.0,0.009399999999999999,0.005600000000000001,SCHD,0.0,0.05680272446815838,0.028290042979286983,0.09177557773748972,0.054058566166116026,0.026716874582705764,0.1237844825764572,Financial Services,Banks - Regional,0.0,0.0,8.49,0.0,-0.1546205672646046
SWKS,"Skyworks Solutions, Inc.",9.26B,2.84,0.0461,1.0887,0.018000000000000002,Quarterly,12.0,13.0,0.0536,0.0784,SCHD,0.0254,0.027566804155482096,0.011368622681196748,0.058686978135917806,0.022841649582750555,0.011368622681196748,0.058686978135917806,Technology,Semiconductors,2.58,20.71,6.49,0.81496062992126,1.0182430271942169
ALV,"Autoliv, Inc.",9.23B,3.48,0.0282,0.3267,0.1387,Quarterly,5.0,29.0,0.06269999999999999,0.3815,SCHD,0.0248,0.029913240983216648,0.021812702492729322,0.04188262954221405,0.030710574161240595,0.01862846521951546,0.07005084020542965,Consumer Cyclical,Auto Parts,2.18,89.78,30.24,0.1370967741935484,-0.0817495025673977
FRT,Federal Realty Investment Trust,9.21B,4.52,0.0426,1.1304,0.0183,Quarterly,59.0,59.0,0.0115,0.0106,Aristocrat+King,0.0413,0.04619262335474268,0.03649922256966977,0.059426417654228236,0.04592600861381961,0.03179873071096188,0.08160708177386784,Real Estate,REIT - Retail,1.05,138.76,10.52,0.031476997578692385,-0.07242102490959297
CBSH,"Commerce Bancshares, Inc.",8.14B,1.10,0.0199,0.2658,0.0644,Quarterly,58.0,58.0,0.0613,0.0554,King,0.0172,0.01814374181486609,0.014154808483373166,0.025931900432124698,0.018573017874009924,0.014154808483373166,0.025931900432124698,Financial Services,Banks - Regional,0.0,0.0,15.97,0.15697674418604657,0.07144676944757501
NFG,National Fuel Gas Company,8.08B,2.14,0.0252,0.2955,0.0392,Quarterly,56.0,56.0,0.037200000000000004,0.0356,King,0.0316,0.03474884944945533,0.02311835719547062,0.05152388997284766,0.038759544477972585,0.02311835719547062,0.06452778579625114,Energy,Oil & Gas Integrated,-0.01,77.31,20.66,-0.20253164556962033,-0.34983756028605034
MSA,MSA Safety Incorporated,7.62B,2.12,0.0109,0.2985,0.0392,Quarterly,56.0,56.0,0.0483,0.042699999999999995,King,0.0121,0.01267867429484513,0.00985957306068405,0.01751805229909633,0.015930526859458706,0.00985957306068405,0.03751123735183062,Industrials,Security & Protection Services,2.67,51.78,23.35,-0.09917355371900824,-0.31577906392165833
FDS,FactSet Research Systems Inc.,7.54B,4.40,0.0217,0.2799,0.057699999999999994,Quarterly,27.0,28.0,0.0732,0.0739,Aristocrat,0.0093,0.009742466389408642,0.00697203293335467,0.02165141213251675,0.010938911280418432,0.00697203293335467,0.02165141213251675,Financial Services,Financial Data & Stock Exchanges,3.34,71.96,28.83,1.3333333333333335,0.9837440348240888
JHG,Janus Henderson Group plc,7.43B,1.59,0.033,0.304,0.0192,Quarterly,1.0,9.0,0.0064,0.02,SCHD,0.0473,0.053595479927131595,0.03316062176165803,0.09248282843085373,0.0,0.0,0.0,Financial Services,Asset Management,0.0,6.46,16.2,-0.3023255813953488,0.0
NXST,"Nexstar Media Group, Inc.",7.28B,7.44,0.031,0.4585,0.0736,Quarterly,13.0,14.0,0.22469999999999998,0.256,SCHD,0.0283,0.03310046371292814,0.017734861211543787,0.05293829408064323,0.028771383384158012,0.016447793452229197,0.05775612151236972,Communication Services,Broadcasting,5.3,291.68,21.35,0.09540636042402831,0.07745948764733711
UBSI,"United Bankshares, Inc.",6.29B,1.52,0.0337,0.4557,0.0068000000000000005,Quarterly,37.0,42.0,0.011399999999999999,0.0125,King,0.0402,0.044879542888830115,0.0333919153056765,0.06080483001420464,0.04876121918866491,0.0333919153056765,0.08605301287987578,Financial Services,Banks - Regional,0.0,0.0,8.86,-0.1616915422885572,-0.3088770018319406
OZK,Bank OZK,5.66B,1.84,0.0359,0.28800000000000003,0.09880000000000001,Quarterly,29.0,30.0,0.1104,0.102,SCHD,0.032,0.03637159077747107,0.02657215977076188,0.04953861795147504,0.034725401207780525,0.016140397198205866,0.08341469713000318,Financial Services,Banks - Regional,0.0,0.0,12.09,0.12187500000000002,0.033825348343456935
RLI,RLI Corp.,5.54B,2.64,0.0438,0.6024,0.0233,Quarterly,52.0,52.0,-0.1319,0.2183,King,0.0084,0.03854683564523884,0.0068428385258912,0.25434894068798947,0.03991240991897562,0.0068428385258912,0.25434894068798947,Financial Services,Insurance - Property & Casualty,0.0,5.62,24.44,4.214285714285714,0.09740304053091253
MC,Moelis & Company,5.42B,2.60,0.0355,0.8256,0.061200000000000004,Quarterly,1.0,13.0,0.027000000000000003,-0.0546,SCHD,0.0438,0.07268331715136939,0.03077122025872167,0.3016636677419735,0.1022291681883195,0.03077122025872167,0.37396844947921454,Financial Services,Capital Markets,0.0,43.28,47.29,-0.18949771689497721,-0.6527409874390805
BKH,Black Hills Corporation,5.39B,2.81,0.0393,0.6862,0.04,Quarterly,55.0,56.0,0.0383,0.044199999999999996,King,0.0396,0.04429893529459817,0.03464447120184639,0.057742714163079994,0.042030311823930376,0.03143214838169765,0.057742714163079994,Utilities,Utilities - Regulated Gas,0.0,113.71,8.06,-0.007575757575757617,-0.06496054170066481
MSM,"MSC Industrial Direct Co., Inc.",5.26B,3.48,0.037000000000000005,0.9379000000000001,0.023799999999999998,Quarterly,4.0,24.0,0.0331,-0.1195,SCHD,0.0369,0.04111397603145945,0.03320381318243929,0.05053539338858026,0.053985743111408475,0.026255472310517752,0.6473232705129071,Industrials,Industrial Distribution,0.74,41.95,14.69,0.0027100271002710803,-0.3146338668776975
MTN,"Vail Resorts, Inc.",5.05B,8.88,0.0629,1.2265000000000001,,Quarterly,,15.0,0.0446,0.5878,SCHD,0.0223,0.04175710830302129,0.01129046975658656,0.07067291408316702,0.036952019592252826,0.01129046975658656,0.07067291408316702,Consumer Cyclical,Resorts & Casinos,1.09,730.69,46.73,1.8206278026905829,0.7022073676640747
WHR,Whirlpool Corporation,4.93B,3.60,0.040999999999999995,0.9364,-0.2429,Quarterly,,55.0,-0.0886,0.0158,SCHD,0.0526,0.05716235208058063,0.02520080933605081,0.09657987673619335,0.04901297926886629,0.02520080933605081,0.09831681190955197,Consumer Cyclical,"Furnishings, Fixtures & Appliances",0.95,264.79,12.07,-0.2205323193916351,-0.1634868842579469
MUR,Murphy Oil Corporation,4.65B,1.40,0.043,1.8316999999999999,0.0816,Quarterly,4.0,56.0,0.1173,0.2152,SCHD,0.0291,0.033068176420338595,0.015586599320393255,0.06892767924448542,0.04457446429764918,0.015586599320393255,0.25926495984527814,Energy,Oil & Gas E&P,1.28,42.04,2.61,0.4776632302405497,-0.03532211373614235
IBOC,International Bancshares Corporation,4.56B,1.46,0.0199,0.2115,0.051500000000000004,Semi-Annual,16.0,31.0,0.051500000000000004,0.053899999999999997,SCHD,0.0246,0.05272437134220448,0.0358881333445621,0.06779577440201585,0.05471369282132119,0.0339658027473001,0.1545596170828024,Financial Services,Banks - Regional,0.0,0.0,14.31,-0.19105691056910565,-0.6362884869608867
RDN,Radian Group Inc.,4.44B,1.02,0.031200000000000002,0.2553,0.0408,Quarterly,6.0,33.0,0.0733,0.1533,SCHD,0.0299,0.03401982603841942,0.023247176842213547,0.04972813344859054,0.02080714149973239,0.0005521795556711734,0.06184465489173163,Financial Services,Insurance - Specialty,0.59,27.35,12.13,0.043478260869565306,0.4994851647642845
SIG,Signet Jewelers Limited,3.95B,1.28,0.0132,0.3738,0.10339999999999999,Quarterly,4.0,16.0,0.1696,0.4804,SCHD,0.0436,0.014272301061503574,0.0068904044027051446,0.038538054942982077,0.033648766259090135,0.0068904044027051446,0.2675887531138229,Consumer Cyclical,Luxury Goods,9.21,66.96,8.24,-0.6972477064220184,-0.607712214517403
FHI,"Federated Hermes, Inc.",3.94B,1.36,0.0255,0.2652,-0.39289999999999997,Quarterly,,29.0,0.0799,-0.0815,SCHD,0.0312,0.04189351043698678,0.02502999885843002,0.22355931288606806,0.056657978123069025,0.02502999885843002,0.2975397783411281,Financial Services,Asset Management,0.0,27.57,34.3,-0.1826923076923077,-0.5499309921612373
FG,"F&G Annuities & Life, Inc.",3.75B,1.00,0.0359,0.2658,0.0706,Quarterly,3.0,3.0,,,SCHD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Financial Services,Insurance - Life,0.56,45.57,9.94,0.0,0.0
APAM,Artisan Partners Asset Management Inc.,3.73B,3.87,0.0837,0.9556,0.1121,Quarterly,2.0,14.0,0.11130000000000001,0.0268,SCHD,0.0743,0.10357442235896569,0.05655711903544982,0.2893209729435616,0.15240943263730747,0.05655711903544982,0.46219449509136823,Financial Services,Asset Management,0.0,39.62,49.31,0.12651413189771185,-0.4508213924056592
CATY,Cathay General Bancorp,3.64B,1.36,0.025099999999999997,0.29960000000000003,,Quarterly,,35.0,,0.018600000000000002,SCHD,0.0324,0.03518749395243448,0.02508299464000572,0.05315869626075382,0.03690077573627456,0.024592039718762997,0.08070969526840233,Financial Services,Banks - Regional,0.0,0.0,10.92,-0.22530864197530867,-0.3197974975001419
FUL,H.B. Fuller Company,3.56B,0.94,0.0143,0.3418,0.0562,Quarterly,57.0,57.0,0.07339999999999999,0.0766,King,0.0117,0.012367107238952986,0.00869403439636392,0.018714873802980536,0.01326285816723451,0.00869403439636392,0.027318086996492595,Basic Materials,Specialty Chemicals,4.4,109.61,7.94,0.2222222222222222,0.07819896885632976
CNS,"Cohen & Steers, Inc.",3.28B,2.48,0.038599999999999995,0.835,0.0508,Quarterly,3.0,22.0,0.037599999999999995,-0.0109,SCHD,0.0297,0.03800606602971914,0.020775294115367934,0.10293387692008686,0.06086083831504225,0.020775294115367934,0.44638988860673656,Financial Services,Asset Management,0.0,24.22,27.27,0.29966329966329946,-0.36576621241742424
