index,label,checked,xpath
1,Name,True,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[1]/input"
2,Market Cap,True,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[2]/input"
3,Dividend Per Share ($),True,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[3]/input"
4,Dividend Yield,True,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[4]/input"
5,Payout Ratio,True,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[5]/input"
6,Dividend Growth,True,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[6]/input"
7,Dividend Payout Frequency,True,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[7]/input"
8,Enterprise Value,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[8]/input"
9,Market Cap Group,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[9]/input"
10,Industry,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[10]/input"
11,Sector,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[11]/input"
12,Stock Price,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[12]/input"
13,Forward PE,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[13]/input"
14,Exchange,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[14]/input"
15,Last Dividend ($),False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[15]/input"
16,Dividend Growth Years,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[16]/input"
17,Dividend Payment Years,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[17]/input"
18,Dividend Growth (3Y),False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[18]/input"
19,Dividend Growth (5Y),False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[19]/input"
20,Price Change 1D,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[20]/input"
21,Price Change 1W,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[21]/input"
22,Price Change 1M,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[22]/input"
23,Price Change 3M,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[23]/input"
24,Price Change 6M,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[24]/input"
25,Price Change YTD,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[25]/input"
26,Price Change 1Y,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[26]/input"
27,Price Change 3Y,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[27]/input"
28,Price Change 5Y,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[28]/input"
29,Price Change 10Y,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[29]/input"
30,Price Change 15Y,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[30]/input"
31,Price Change 20Y,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[31]/input"
32,Total Return 1W,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[32]/input"
33,Total Return 1M,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[33]/input"
34,Total Return 3M,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[34]/input"
35,Total Return 6M,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[35]/input"
36,Total Return YTD,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[36]/input"
37,Total Return 1Y,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[37]/input"
38,Total Return 3Y,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[38]/input"
39,Total Return 5Y,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[39]/input"
40,Total Return 10Y,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[40]/input"
41,Total Return 15Y,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[41]/input"
42,Total Return 20Y,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[42]/input"
43,Return CAGR 1Y,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[43]/input"
44,Return CAGR 3Y,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[44]/input"
45,Return CAGR 5Y,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[45]/input"
46,Return CAGR 10Y,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[46]/input"
47,Return CAGR 15Y,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[47]/input"
48,Return CAGR 20Y,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[48]/input"
49,Price Change 52W Low,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[49]/input"
50,Price Change 52W High,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[50]/input"
51,All-Time High,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[51]/input"
52,All-Time High Change (%),False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[52]/input"
53,All-Time High Date,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[53]/input"
54,All-Time Low,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[54]/input"
55,All-Time Low Change (%),False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[55]/input"
56,All-Time Low Date,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[56]/input"
57,Volume,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[57]/input"
58,Dollar Volume,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[58]/input"
59,PE Ratio,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[59]/input"
60,Analyst Rating,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[60]/input"
61,Analyst Count,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[61]/input"
62,Price Target,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[62]/input"
63,Price Target Upside (%),False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[63]/input"
64,Open Price,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[64]/input"
65,Low Price,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[65]/input"
66,High Price,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[66]/input"
67,Previous Close,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[67]/input"
68,Stock Price Date,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[68]/input"
69,Premarket Price,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[69]/input"
70,Premarket % Change,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[70]/input"
71,Premarket Volume,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[71]/input"
72,Premarket Close,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[72]/input"
73,After-Hours Price,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[73]/input"
74,After-Hours % Change,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[74]/input"
75,After-Hours Close,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[75]/input"
76,52-Week Low Price,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[76]/input"
77,52-Week High Price,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[77]/input"
78,Country,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[78]/input"
79,U.S. State,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[79]/input"
80,Employees,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[80]/input"
81,Employees Change,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[81]/input"
82,Employees Growth,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[82]/input"
83,Founded,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[83]/input"
84,IPO Date,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[84]/input"
85,Financial Report Date,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[85]/input"
86,Fiscal Year End,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[86]/input"
87,Last 10-K Release Date,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[87]/input"
88,Revenue,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[88]/input"
89,Revenue Growth,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[89]/input"
90,Revenue Growth (Q),False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[90]/input"
91,Revenue Growth 3Y,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[91]/input"
92,Revenue Growth 5Y,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[92]/input"
93,Revenue Growth Years,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[93]/input"
94,Revenue Growth Quarters,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[94]/input"
95,Gross Profit,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[95]/input"
96,Gross Profit Growth,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[96]/input"
97,Gross Profit Growth (Q),False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[97]/input"
98,Gross Profit Growth 3Y,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[98]/input"
99,Gross Profit Growth 5Y,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[99]/input"
100,Operating Income,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[100]/input"
101,Op. Income Growth,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[101]/input"
102,Op. Income Growth (Q),False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[102]/input"
103,Op. Income Growth 3Y,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[103]/input"
104,Op. Income Growth 5Y,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[104]/input"
105,Net Income,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[105]/input"
106,Net Income Growth,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[106]/input"
107,Net Income Growth (Q),False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[107]/input"
108,Net Income Growth 3Y,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[108]/input"
109,Net Income Growth 5Y,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[109]/input"
110,Net Income Growth Years,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[110]/input"
111,Net Income Growth Quarters,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[111]/input"
112,Profitable Years,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[112]/input"
113,Income Taxes,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[113]/input"
114,EPS,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[114]/input"
115,EPS Growth,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[115]/input"
116,EPS Growth (Q),False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[116]/input"
117,EPS Growth 3Y,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[117]/input"
118,EPS Growth 5Y,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[118]/input"
119,EPS Growth Years,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[119]/input"
120,EPS Growth Quarters,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[120]/input"
121,EBIT,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[121]/input"
122,EBITDA,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[122]/input"
123,Operating Cash Flow,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[123]/input"
124,Stock-Based Compensation,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[124]/input"
125,SBC / Revenue,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[125]/input"
126,Investing Cash Flow,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[126]/input"
127,Financing Cash Flow,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[127]/input"
128,Net Cash Flow,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[128]/input"
129,Capital Expenditures,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[129]/input"
130,Free Cash Flow,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[130]/input"
131,Free Cash Flow - SBC,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[131]/input"
132,FCF / Share,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[132]/input"
133,FCF Growth,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[133]/input"
134,FCF Growth (Q),False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[134]/input"
135,FCF Growth 3Y,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[135]/input"
136,FCF Growth 5Y,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[136]/input"
137,OCF Growth,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[137]/input"
138,OCF Growth (Q),False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[138]/input"
139,OCF Growth 3Y,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[139]/input"
140,OCF Growth 5Y,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[140]/input"
141,Total Cash,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[141]/input"
142,Total Debt,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[142]/input"
143,Debt Growth (YoY),False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[143]/input"
